"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99"
"1",0,2777064.59873002,2204851.93351724,541045.213375054,197968.859688798,79959.7274429236,3737360.93062884,1993996.03454857,3932684.79167086,215568.446845165,361129.32961058,3943231.8422854,1498132.57844088,197086.892837735,1946727.64535351,1936271.18013803,3719075.30964967,451615.993663499,3154925.79135131,496962.908929195,3929768.94347258,4132065.4476926,3837420.26450602,538970.730767242,3699574.64724154,4027112.19618925,3476299.50013603,3938246.89677885,3545693.12062477,3962120.71227681,3166711.822131,1969632.02787132,2418527.89087907,3150080.37653303,3283774.67330214,3423883.76039892,900138.390387164,521754.765099831,3664944.06749752,3585841.64827078,3400596.34360815,3100321.9890777,3668342.94449013,648161.214891136,2004546.45503391,301381.4629212,2523126.5387772,3439187.12676831,4132856.3046524,3944801.07764805,2899235.52174611,3449001.97845958,2784717.86596809,3974921.1634728,2584491.30192349,3137024.73658218,3919914.05737849,2755031.97743158,3530737.89365457,3701796.57373622,1454650.89931948,123929.65818882,4025943.86903949,1954232.45582578,538984.81759727,3187753.77919141,2112425.35020159,4011607.3650697,80713.598474863,1153408.5272003,3816304.70774178,4090686.46456688,3714850.82736736,3895101.18419546,1556542.33631972,3035192.0553407,1300735.9116879,2182565.2557707,4158716.93038969,3906488.06214999,1901742.54479402,4167218.74135334,3572058.03148618,2940269.47340832,506817.808559235,487669.90901785,3087006.18884772,3122541.47175402,3616698.85016359,1331053.95766822,3532649.05618336,1322839.49252352,4149491.25433808,2188923.65872245,2769333.58817858,2853744.29202924,2758191.34491837,1060673.83963261,3921282.31733299
"2",2777064.59873002,0,1497367.83243032,2362008.60601762,2721710.91142089,2769946.44633421,1925986.95877407,1282986.35148569,1167239.79187629,2623113.66567197,2422562.21692571,1176646.11162863,2742195.57875801,2582310.47873142,1310941.127262,1682349.67815159,1871108.5881802,2934032.63362987,377964.377199282,2934225.06266107,1162668.00279183,1355147.41436338,1084822.53138518,2859289.59955598,1819899.72154881,1257450.6573764,1627212.07301997,1170005.91513166,1595858.76047688,1194889.90445162,454722.831775455,1561203.51626785,577389.332941139,376254.110312684,514299.448659078,673987.524636716,2014944.57860045,2926985.54202398,954101.367564341,1040928.31401538,952757.913202587,943102.900410862,946852.424208924,2380884.65243021,1233721.1655425,2783021.6975939,420790.652037559,1616006.12818083,6829798.67913249,1173238.99186252,269378.943035313,1394440.88007564,130101.424923147,1202208.89804202,762595.577647597,938241.495652571,1150661.76195959,22402.7880040187,754685.258062505,988228.240278389,2765302.38597791,2768555.27604286,1249851.32358224,1262687.75662122,2975431.86918323,413659.261431849,1963594.27539907,1237625.29950606,2841338.79043999,1981255.7507016,1060221.86723943,1313632.23550015,980605.467991063,1133247.71603717,2734765.55544199,404068.034633599,2793175.81265197,1546368.19257024,1381667.7587349,1139470.32648508,1087155.05087682,1390694.87748191,1782876.95063604,446451.20041264,2978809.97591402,2872088.81171332,924047.383321342,952260.660606814,842991.915137843,1453314.88449315,1643018.91358959,1454250.30767218,1372460.15494688,636617.019483665,55735.6571726972,637577.132152114,46018.1657202587,1804044.55839897,1154678.92077698
"3",2204851.93351724,1497367.83243032,0,1664863.21680397,2053836.29002281,2155241.33447708,1535458.94120756,349468.408537082,2279685.76472202,1992672.26133854,1958396.16792642,2293339.2304356,2995634.03241993,2027454.53287532,371068.184629558,305889.519597814,1520707.87911388,2564728.48685303,1756814.66222475,2590749.08282044,2284201.9249272,2560313.65956947,2158438.46129178,2563643.40838859,1505590.43468953,2379193.87025896,1291407.81537864,2296523.44274242,1375228.73463805,2312142.19314336,1592067.98218768,236375.423692015,1694725.59333756,1782843.54467866,1784788.29368546,1828663.5944025,1918948.20367832,2600141.90894837,1936655.88950977,1696532.30286931,1490102.75380611,1121921.03215959,1956874.97093912,1582928.65093263,387157.797445928,2375624.05401788,1077648.94784751,1252736.06328133,6274892.06201521,2319495.21808415,1389486.98303606,1322005.54023313,1605815.8101595,2352438.65146929,785771.53373807,1166696.67755077,2285902.95686977,1487473.8699724,2065708.69490961,1969790.19535038,2989666.16262862,2265806.45043685,2427635.81303328,406830.431880221,2640193.68481606,1810216.23548393,472961.273894734,2393237.20820037,2285332.67621244,1057746.65440611,2150903.39908688,2515661.26074573,2017072.06301873,2234627.4427792,3020883.69349117,1436721.88019536,2928465.8854931,52004.4062483521,2576082.98286248,2264230.0222128,661142.529966922,2601882.73493278,1373326.24788631,1289210.800586,2623556.80788016,2544296.60399783,1118008.01590174,1141910.40672694,2158617.76333884,1400145.78651364,1350657.71686842,1303229.53184788,2558834.61187711,1023221.00955187,1536949.02261599,1066424.19619395,1452448.81586825,1205609.4497008,2274893.84008884
"4",541045.213375054,2362008.60601762,1664863.21680397,0,396934.604334754,490841.798016692,3198769.17994793,1466136.16637334,3492108.23050975,327810.745550782,393587.69818042,3503429.8418561,1759238.01938281,378160.436692951,1418385.68048443,1395340.64768924,3181474.07230865,940871.284265915,2737821.93313308,976442.608599219,3490500.46402703,3710613.10026673,3390268.68654454,978829.759560423,3163006.52957256,3589262.53192489,2941325.28659429,3499851.54033445,3013431.37177867,3522665.90237675,2719977.78714517,1429275.43616596,2083068.11420416,2738262.71602777,2853837.08198732,2981693.28738824,816184.258728169,993172.083093198,3205695.2111965,3098424.76780793,2906963.6283805,2592123.40502759,3212061.47799292,154053.316071034,1480349.1816869,754081.89427281,2065238.18297547,2903867.19994975,4646057.21255296,3509567.11004142,2452392.66463116,2923423.20181466,2388106.74431163,3540807.99000849,2084192.17502308,2630504.2256021,3482576.24927763,2340758.01027768,3114770.00989154,3242638.55447893,1727734.22887227,614521.765704678,3597364.11624271,1429676.27652801,1024794.76371935,2775644.70042994,1581125.22993372,3578978.95792087,621740.663805495,612536.961269946,3371171.50530453,3667800.62882467,3261906.48283372,3452427.46969937,1808840.8328101,2579940.97043616,1600929.97362125,1641901.35680461,3735681.78881431,3467367.48612997,1404797.13666213,3747678.30864548,3034288.20650234,2473452.76224096,1000525.81907436,943625.274011232,2579831.92338513,2614402.39883216,3204535.1048272,985970.248227679,2998301.62651494,940728.139166117,3724742.90329261,1744102.37762571,2362126.16692204,2364765.53689577,2337521.0721321,568419.116249359,3481696.60907009
"5",197968.859688798,2721710.91142089,2053836.29002281,396934.604334754,0,121003.473370648,3589143.93949221,1862862.48389521,3865375.764593,104825.022841348,387560.065694756,3876372.2130727,1665583.87114179,207539.941611375,1815070.65180858,1776606.32459296,3573082.14813025,649519.094487152,3099312.84387309,694563.580116005,3863197.58594598,4075514.09881279,3766248.80247731,732362.679310919,3555615.68387538,3961437.22988275,3335178.37520711,3872176.65463083,3408608.5278298,3895476.20322761,3094992.98626429,1817600.35297814,2399351.94373855,3097195.75164984,3221560.27393453,3355090.11111582,951243.864438667,718898.79364786,3586453.41710843,3489086.73981466,3299319.74531642,2987712.35444649,3591638.90527625,475703.020534377,1877282.26479235,492189.052768417,2443890.40951861,3297511.77334291,4249154.49257118,3880509.86986879,2827037.30169801,3320139.67359025,2738644.54077433,3911285.34521901,2477784.81791252,3025794.21051252,3854419.91476607,2700025.01234884,3476341.87556352,3623394.40845859,1624507.19244252,315665.380390563,3965414.51423552,1826607.21414648,736920.028377847,3134790.53677107,1936502.47958137,3948833.42780991,268566.886811613,996449.824529642,3746277.32208403,4033319.36598251,3640173.31197826,3826561.36829586,1722392.08048334,2958363.54556763,1475372.33674258,2028735.23767193,4101340.89724363,3839976.71999165,1796626.01798718,4111729.74650229,3425770.30414072,2856380.1923713,704766.113431707,682840.227513779,2975228.20561965,3009988.1481079,3564415.49702983,1298355.01600445,3392504.98569896,1274265.88513037,4091178.44194005,2116192.11860928,2717949.49925727,2755379.93797563,2699890.7571142,954796.314085357,3854523.14973884
"6",79959.7274429236,2769946.44633421,2155241.33447708,490841.798016692,121003.473370648,0,3689535.49078404,1953518.78322525,3921065.44567233,164060.488406382,375840.506205763,3931805.60746845,1572571.14908406,193378.320176345,1905975.81466385,1882338.60598252,3672315.85681707,530450.409005644,3147906.8880507,576238.953398459,3918460.14988989,4125026.44134571,3824135.59892363,618878.684576015,3653783.74089683,4016211.83573994,3431808.13123594,3927152.2372122,3503116.13730666,3950791.21683536,3152936.26460835,1919412.88988207,2425938.80784109,3144193.70966189,3274057.00076684,3411456.0530903,932013.261215291,601326.114806878,3648485.70352749,3561465.16519485,3374176.22388005,3068777.03797683,3652648.57202146,586268.654523894,1965830.32089423,380777.674123148,2505799.02836922,3394425.22389827,4164437.82370984,3934458.26376137,2885123.56464522,3410214.79094425,2781446.41690053,3964863.70843417,2555322.13500204,3106108.04616416,3909056.51854168,2748044.23361526,3524390.8080257,3685388.55846735,1529746.56694571,202992.910910643,4017207.35855571,1915313.09653882,617669.973585321,3181852.75976566,2050242.2721884,4001923.84542038,147660.661334682,1100069.75000083,3803498.01348991,4083294.0545943,3700035.83060691,3882949.67391642,1630549.46635673,3019185.22973552,1377061.47106229,2131591.0707038,4151341.15041289,3895197.18191741,1872746.93778825,4160633.78244799,3525128.87317791,2921199.72301965,584954.880267758,567623.257671285,3055826.67012981,3091030.05824335,3611263.9708852,1331365.83685433,3488631.62406621,1316659.41248719,4141720.83752433,2174083.89512567,2763858.05812298,2828372.57659822,2749834.44630208,1029767.08288911,3909891.55421221
"7",3737360.93062884,1925986.95877407,1535458.94120756,3198769.17994793,3589143.93949221,3689535.49078404,0,1763784.27792667,1780808.6160832,3526470.04818162,3474604.31282017,1792741.65448217,4347722.70740749,3556353.87506025,1808438.54272571,1822372.5705113,60525.6491910984,4080925.91183189,1872424.4867024,4103450.92850185,1793640.56207462,2056693.18076785,1679371.41177226,4067412.55722144,115596.836519344,1844869.9511508,312053.697695113,1805823.66311583,331904.502770089,1803215.89802351,1614697.07385777,1771814.03300471,2450627.15338144,1915526.75118694,1763236.04630852,1654702.69935218,3343807.51235511,4110293.73193195,1503926.70331267,1147373.88642652,1072726.73637504,985861.829768305,1537874.31622378,3118235.5115042,1764913.3199327,3893648.53103529,1721640.03159038,336502.285644277,7799785.39670523,1841204.47850558,1661030.41180247,536902.548123488,2050661.77561332,1863867.03209336,1391767.92783669,987828.330092629,1810501.36622302,1935700.653987,1916487.51884404,1511924.63744785,4353367.4955146,3793442.15310655,1940325.97491963,1812027.71983305,4152556.23201299,1913708.84800199,1764810.22146322,1893236.92481393,3817581.84594007,2593205.59543029,1695029.19107157,2024384.08298816,1584280.48910401,1745690.45355751,4360159.10334753,1557731.91028221,4324073.11386114,1562502.32538226,2052898.88474914,1787197.10065461,1953319.66992121,2091481.30388159,171659.656270023,1480076.19534362,4138747.73287516,4053394.3158883,1005372.16228242,974909.968011239,1969259.95778036,2755137.55097277,284177.085386169,2681815.45414589,2031557.86010391,1972317.91358878,1981373.24028891,1316865.27337456,1890767.25357268,2710151.01612615,1787344.45491229
"8",1993996.03454857,1282986.35148569,349468.408537082,1466136.16637334,1862862.48389521,1953518.78322525,1763784.27792667,0,2209425.05388094,1789470.52605833,1713739.10413024,2222479.27182161,2669459.07611521,1806380.55771416,48026.8938308784,404888.946698578,1739528.05531675,2318833.02133635,1590639.96954775,2340404.01391267,2211715.98055167,2473112.24904917,2093068.1062221,2303637.16552755,1715521.89028612,2310063.72421385,1488053.10213018,2223178.76078458,1552783.21435376,2241835.90236303,1468983.12349193,287136.312689041,1392014.104322,1609933.1130493,1648562.11393019,1724064.37511205,1608672.74397606,2346824.89633336,1881265.05423857,1698246.41280379,1495440.89000611,1151029.49694947,1896188.03068938,1411177.69066726,50686.86918571,2132576.70036161,868301.123823744,1452017.56009651,6110794.3953411,2241696.67482224,1231934.43603406,1457289.32448504,1375929.98749835,2274702.43228908,689753.811787931,1192661.13194096,2209840.04392382,1269282.51950565,1932539.37131112,1916813.52980074,2666091.35775144,2040329.28100157,2344678.20298666,58177.2802204263,2389402.88910893,1641513.85922686,722283.150459904,2315373.03745262,2072957.95703404,896867.108781845,2080839.75744779,2428240.14399239,1953619.70179674,2165465.06386863,2692150.47846398,1312152.99502496,2613110.03979328,373143.301633635,2492416.35692075,2190125.27618163,315360.160567594,2513906.76414,1594352.16397063,1173448.63677879,2376270.86190596,2289834.02401464,1141400.90548525,1173055.41247327,2027194.43946159,1063923.75257704,1542796.90981057,971480.876492547,2477063.69378753,728670.43488823,1314161.34286821,991518.34470825,1241044.17295257,948181.611531667,2202400.94612958
"9",3932684.79167086,1167239.79187629,2279685.76472202,3492108.23050975,3865375.764593,3921065.44567233,1780808.6160832,2209425.05388094,0,3769673.71743775,3582051.70089017,13939.3869604625,3842439.25082432,3736562.53896939,2250875.93435616,2549601.7250254,1721730.80715844,4101206.02248977,799315.843105571,4101454.11004976,14712.3455668437,296342.347248624,123038.472122698,4026155.90405925,1668975.82187206,100639.019833758,1608740.46987028,25118.5136122571,1507613.32726375,32532.3632202838,772529.206200492,2434848.39721157,1662271.094406,816162.559882814,653125.388656516,510469.717881066,3181533.60194387,4094122.27211116,348099.577201238,678287.690069387,851099.465244391,1202291.53434122,324197.586008432,3493119.47513019,2169676.50468025,3949028.23567135,1429402.25731258,1626214.86201236,7996346.54452488,60804.9313874048,1039744.64253153,1342320.17140375,1190905.44639838,84704.23076463,1523421.40967937,1159545.84627204,37502.9928015534,1189639.97993782,462442.665166798,319406.378806186,3871516.70036981,3929729.70819403,165141.916029317,2213198.069486,4142579.50236416,780462.637608501,2736486.61216387,120923.476560908,3999266.88658907,3043459.40068551,129104.485058022,255851.007944347,263334.796266516,45190.3315955876,3827091.96763842,918143.107070241,3917224.97769851,2331244.00232053,304580.316261359,30169.073047325,2124459.44663838,336951.58009372,1726695.5726837,1042482.84000046,4146048.86439395,4039292.16378229,1198879.49518758,1187736.70806564,417455.051750846,2617562.81015724,1580127.20955119,2611996.02234129,285117.870936078,1749349.0744999,1185650.02781616,1223686.45653101,1180062.13355887,2925023.14135799,15504.1927790235
"10",215568.446845165,2623113.66567197,1992672.26133854,327810.745550782,104825.022841348,164060.488406382,3526470.04818162,1789470.52605833,3769673.71743775,0,289280.084389029,3780567.83099651,1606872.62402648,123335.708959135,1741921.23443904,1721836.4465977,3508967.26264051,646336.627018226,3000898.65506425,687673.124388362,3767323.24582233,3977526.16794693,3671452.11238498,711176.237760631,3490220.90160305,3865378.67928175,3268015.34247358,3776188.71351917,3339119.92002657,3799626.22891724,3000134.16172147,1757051.32438576,2295713.02459104,2998262.00836009,3124539.25051683,3259604.41924229,850768.733941017,708993.212451117,3493510.31567749,3401725.36853843,3213496.53000316,2906194.26380981,3498215.96790849,433452.371307933,1801893.29007357,472029.095364145,2350703.26345632,3230672.14938606,4327505.02627348,3784119.87283074,2732195.3465811,3246222.80987723,2638403.14867316,3814756.03603542,2393656.88549876,2943719.81494392,3758295.9443343,2601352.61656406,3377798.90073183,3530437.3707416,1567893.7295861,307539.869340553,3868222.7625599,1751360.56457001,733326.120860638,3035882.80668796,1897161.18651048,3852122.18522926,296035.031302245,939056.158124039,3651195.28462888,3935486.88214718,3546231.34206063,3731140.85645451,1662250.14623952,2864766.57931844,1423546.4393369,1969571.07179753,4003523.71629493,3744083.0899773,1711381.95158227,4013538.54677959,3361817.0006526,2764710.05239014,704445.602671438,666611.467134631,2893360.17971922,2928454.88964461,3465496.01856602,1195401.98955828,3324775.93381604,1173377.49059216,3993550.0860433,2021097.55575156,2618611.8833498,2668307.18539819,2601865.7481123,868313.396771185,3758690.3633137
