,State,date,C1,C1_Flag,C2,C2_Flag,C3,C3_Flag,C4,C4_Flag,C5,C5_Flag,C6,C6_Flag,C7,C7_Flag,C8,H1,H1_Flag,H2,H3,H6,H6_Flag,H7,H7_Flag,H8,H8_Flag,ContainmentHealthIndex
1,Alaska,2020/1/22,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
2,Alaska,2020/1/23,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
3,Alaska,2020/1/24,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
4,Alaska,2020/1/25,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
5,Alaska,2020/1/26,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
6,Alaska,2020/1/27,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
7,Alaska,2020/1/28,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
8,Alaska,2020/1/29,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
9,Alaska,2020/1/30,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
10,Alaska,2020/1/31,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
11,Alaska,2020/2/1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
12,Alaska,2020/2/2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
13,Alaska,2020/2/3,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
14,Alaska,2020/2/4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
15,Alaska,2020/2/5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
16,Alaska,2020/2/6,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,NA,0,NA,3.57
17,Alaska,2020/2/7,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
18,Alaska,2020/2/8,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
19,Alaska,2020/2/9,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
20,Alaska,2020/2/10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
21,Alaska,2020/2/11,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
22,Alaska,2020/2/12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
23,Alaska,2020/2/13,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
24,Alaska,2020/2/14,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
25,Alaska,2020/2/15,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
26,Alaska,2020/2/16,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
27,Alaska,2020/2/17,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
28,Alaska,2020/2/18,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
29,Alaska,2020/2/19,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
30,Alaska,2020/2/20,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
31,Alaska,2020/2/21,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
32,Alaska,2020/2/22,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
33,Alaska,2020/2/23,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
34,Alaska,2020/2/24,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
35,Alaska,2020/2/25,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
36,Alaska,2020/2/26,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
37,Alaska,2020/2/27,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,0,0,0,NA,0,NA,0,NA,7.14
38,Alaska,2020/2/28,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
39,Alaska,2020/2/29,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
40,Alaska,2020/3/1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
41,Alaska,2020/3/2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
42,Alaska,2020/3/3,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
43,Alaska,2020/3/4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
44,Alaska,2020/3/5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
45,Alaska,2020/3/6,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
46,Alaska,2020/3/7,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
47,Alaska,2020/3/8,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
48,Alaska,2020/3/9,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
49,Alaska,2020/3/10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
50,Alaska,2020/3/11,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,0,0,NA,0,NA,0,NA,9.52
51,Alaska,2020/3/12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,1,1,2,0,NA,0,NA,0,NA,16.67
52,Alaska,2020/3/13,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,NA,0,2,1,1,2,0,NA,0,NA,2,1,23.21
53,Alaska,2020/3/14,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,NA,0,2,1,1,2,0,NA,0,NA,2,1,23.21
54,Alaska,2020/3/15,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,NA,0,2,1,1,2,0,NA,0,NA,2,1,23.21
55,Alaska,2020/3/16,3,1,2,0,1,0,3,0,0,NA,0,NA,0,NA,0,2,1,1,2,0,NA,0,NA,2,1,38.39
56,Alaska,2020/3/17,3,1,2,0,2,1,3,0,0,NA,0,NA,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,47.32
57,Alaska,2020/3/18,3,1,2,1,2,1,3,0,1,0,0,NA,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,50.3
58,Alaska,2020/3/19,3,1,2,1,2,1,3,0,1,0,0,NA,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,50.3
59,Alaska,2020/3/20,3,1,2,1,2,1,3,0,1,0,0,NA,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,50.3
60,Alaska,2020/3/21,3,1,2,0,2,1,4,0,1,0,0,NA,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,50.89
61,Alaska,2020/3/22,3,1,3,0,2,1,4,0,1,0,2,0,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,56.85
62,Alaska,2020/3/23,3,1,3,0,2,1,4,0,1,0,2,0,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,56.85
63,Alaska,2020/3/24,3,1,3,0,2,1,4,1,1,0,2,0,0,NA,2,2,1,1,2,0,NA,0,NA,2,1,57.74
