cik,list_broad_quantity_E,list_commodity_E,list_competition_E,list_consumer_E,list_elections_P,list_exchange_rate_E,list_financial_crisis_E,list_govt_enterprises_P,list_govt_spending_P,list_healthcare_E,list_inflation_E,list_interest_rates_E,list_invest_sentiment_E,list_ip_E,list_labor_disputes_E,list_labor_markets_E,list_litigation_E,list_monetary_P,list_other_financial_E,list_policy_agri_P,list_policy_food_P,list_policy_trade_P,list_real_estate_E,list_reg_energy_p,list_reg_finance_P,list_reg_generic_P,list_reg_housing_P,list_reg_immigration_P,list_reg_ip_P,list_reg_labor_P,list_reg_lawsuit_P,list_reg_other_P,list_security_P,list_taxes_P,list_trade_E,list_transport_P,list_welfare_P,sentences
1750,0,15,0,0,2,1,0,0,5,0,0,4,0,0,0,7,1,0,0,0,0,5,0,0,0,82,0,0,0,0,0,0,21,10,0,25,0,721.0
1800,5,8,0,0,0,18,0,0,10,26,10,10,0,60,5,0,25,0,0,0,16,1,0,0,1,119,0,0,0,0,0,0,5,23,0,0,6,694.0
1961,0,0,4,0,0,0,0,0,0,0,0,0,0,100,0,9,35,0,0,0,0,0,0,0,4,20,0,0,7,0,0,0,4,4,0,0,0,341.0
2034,0,21,1,4,0,8,0,0,0,94,1,1,0,35,8,6,42,0,3,0,58,11,0,12,28,238,4,0,0,2,0,0,0,64,0,0,12,1633.0
2098,3,2,0,0,0,20,0,0,5,0,5,17,0,30,8,0,0,9,0,0,0,13,0,0,0,62,0,0,0,0,0,0,8,11,0,0,0,690.0
2178,4,73,0,0,0,8,0,0,0,0,0,2,0,0,2,2,24,0,0,0,0,0,0,16,8,80,2,0,0,0,2,0,4,29,0,0,0,556.0
2186,0,22,0,3,0,3,0,0,2,0,10,0,0,30,0,17,14,0,0,0,0,3,0,0,15,59,0,0,0,0,0,4,15,21,0,0,0,878.0
2488,0,19,0,10,3,30,0,0,0,2,0,14,0,116,0,11,60,0,0,0,0,17,3,0,24,51,0,0,0,0,0,0,0,56,0,0,0,2479.0
2969,0,36,11,0,0,21,0,0,0,0,0,8,0,8,0,0,22,0,0,0,0,12,0,12,0,134,0,0,0,0,0,0,8,68,0,0,0,763.0
3116,0,0,1,0,0,1,0,0,0,99,0,4,0,38,2,3,26,0,0,0,69,0,0,1,11,56,0,0,0,1,0,1,2,7,0,0,12,692.0
3146,8,161,15,0,0,0,0,0,0,0,1,20,0,0,0,10,15,4,3,0,0,8,0,25,45,254,0,0,0,0,0,0,0,14,0,0,0,1325.0
3153,0,230,1,0,0,3,0,0,0,0,1,23,0,0,5,26,42,0,0,0,0,14,0,81,11,263,0,0,0,5,10,2,20,63,0,0,0,2431.0
3197,3,49,0,0,0,15,0,0,0,0,0,15,0,25,5,35,32,0,0,0,0,10,0,8,17,107,0,0,0,0,0,0,0,12,0,0,0,1713.0
3453,0,61,6,15,0,10,0,0,0,0,0,6,0,0,10,20,1,1,0,0,0,44,0,22,10,90,0,0,0,5,0,0,25,32,0,0,0,1075.0
3499,0,10,0,5,0,0,0,0,0,0,5,19,0,0,0,11,1,5,11,0,0,0,139,5,0,61,10,0,0,0,0,0,39,115,0,0,0,1516.0
3545,0,13,0,0,0,0,0,0,0,3,17,6,0,0,1,5,8,0,0,4,0,11,18,5,9,71,0,3,0,0,0,0,0,35,0,0,0,1168.0
3570,0,318,31,0,2,0,5,0,1,0,0,14,0,0,12,15,25,6,4,0,0,13,0,69,52,201,0,0,0,5,3,0,15,47,0,0,0,2033.0
4127,0,9,0,0,0,10,0,0,0,0,0,0,0,132,5,10,20,0,0,0,0,27,0,10,10,125,0,3,0,0,0,2,10,77,0,0,0,1898.0
4187,2,69,0,0,0,0,1,0,0,0,0,9,0,2,0,0,4,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,2,4,0,0,0,444.0
4281,4,141,6,2,8,12,0,0,2,2,10,15,0,28,17,16,24,0,0,0,0,12,4,5,6,119,0,0,0,2,0,0,14,84,0,0,0,1186.0
4447,0,191,0,0,0,0,0,0,0,0,0,5,0,0,10,0,8,0,0,0,0,1,0,0,6,66,0,0,0,0,0,0,5,17,0,2,0,567.0
4457,1,10,0,5,0,0,0,0,0,0,0,28,0,0,0,8,5,1,0,0,0,0,5,0,3,84,0,0,0,0,0,0,3,15,0,5,0,715.0
4515,5,40,43,2,15,12,0,0,5,2,8,48,0,7,15,41,42,8,2,0,0,1,4,29,5,240,0,0,0,1,1,0,24,159,0,45,0,3256.0
4904,0,97,0,0,0,0,0,0,0,0,0,12,0,0,5,20,28,2,0,0,0,1,3,100,7,139,0,0,0,0,6,0,8,15,0,0,0,1653.0
4962,7,57,7,11,9,0,0,0,7,0,6,52,11,35,0,8,96,37,0,0,0,1,0,0,68,333,0,0,0,1,2,0,10,48,0,0,0,2026.0
4969,5,8,3,4,0,1,0,0,3,0,3,10,6,0,0,3,13,1,3,0,0,0,0,0,2,55,0,0,0,0,0,0,0,25,0,0,0,409.0
4977,5,40,4,5,2,37,37,0,13,28,10,177,10,5,0,19,36,55,45,0,0,3,1,0,66,216,0,0,0,1,2,0,5,72,0,0,0,2298.0
5133,0,6,4,8,0,6,0,0,0,4,2,2,0,19,4,4,20,0,4,0,0,4,0,0,0,46,0,0,2,0,0,2,2,37,0,0,0,588.0
5272,0,10,0,0,15,8,2,0,3,0,15,103,2,8,0,19,26,15,26,0,0,0,15,0,61,323,0,0,0,14,0,0,23,123,0,0,0,2181.0
5513,0,12,2,15,0,5,0,0,0,6,10,54,5,0,0,15,56,0,35,0,0,0,5,0,40,181,0,0,0,11,0,0,30,44,0,0,25,1456.0
5656,0,36,0,0,0,0,0,0,0,0,61,4,0,4,3,12,4,4,0,0,0,0,0,4,72,36,0,0,0,0,0,0,4,4,0,0,0,1285.0
5768,2,17,2,0,0,4,0,0,5,0,0,0,0,28,0,2,16,0,0,0,0,2,0,0,6,34,0,0,2,0,0,0,14,2,0,0,0,552.0
5981,0,14,0,0,3,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,13,0,60,0,0,0,0,0,2,0,10,0,0,0,581.0
6176,0,51,5,0,6,16,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,14,0,0,5,28,0,0,0,0,0,0,0,13,0,0,0,414.0
6281,0,30,12,0,0,14,0,0,10,6,0,12,0,115,0,36,37,0,0,0,0,19,0,0,5,98,0,2,0,0,0,0,5,89,0,0,0,1463.0
6284,0,12,3,0,0,9,0,0,3,24,0,0,0,30,0,7,8,0,0,0,12,6,3,0,8,74,0,0,3,0,0,0,15,12,0,0,3,777.0
6494,0,5,0,0,0,0,0,0,0,0,0,0,0,61,0,0,24,0,0,0,0,8,0,0,0,0,0,0,5,0,0,5,5,7,0,0,0,541.0
6769,8,263,5,0,0,8,0,0,4,0,0,0,0,4,12,0,8,0,0,0,0,12,0,0,10,78,0,0,0,0,0,0,15,45,0,0,0,1091.0
6845,0,13,0,12,0,2,0,0,0,0,0,4,0,0,0,11,8,0,0,0,0,3,28,0,4,14,0,0,0,4,0,0,0,4,0,0,0,335.0
6885,0,14,0,20,0,4,0,0,0,4,4,0,0,16,0,16,20,0,0,0,0,4,0,0,8,38,0,0,0,4,0,0,12,16,0,0,0,683.0
6951,4,37,7,8,0,4,0,0,0,0,0,12,0,71,0,23,23,0,0,0,0,10,0,1,5,72,0,0,3,0,0,0,8,70,0,0,0,1108.0
6955,5,23,2,0,0,10,0,0,0,0,0,0,0,37,3,14,27,0,0,0,0,21,0,2,0,48,0,0,3,0,0,0,8,28,0,0,0,870.0
7039,15,31,1,0,0,0,0,0,0,0,5,11,0,2,0,12,11,0,0,0,0,2,0,10,5,102,0,0,0,1,0,0,15,49,0,0,0,922.0
7084,0,40,5,0,0,14,0,0,0,0,0,5,0,5,0,11,0,0,0,0,0,15,0,0,14,103,0,0,0,0,0,0,15,54,0,0,0,595.0
7286,0,57,0,0,0,0,0,0,1,15,0,30,0,0,0,20,26,5,0,0,0,5,0,71,20,247,0,0,0,0,3,0,0,6,0,0,0,1384.0
7332,0,162,12,1,0,1,0,0,0,0,0,9,0,0,1,3,3,0,0,0,0,0,0,12,21,69,3,0,0,0,0,0,2,24,0,0,0,871.0
7431,0,22,12,10,0,4,0,0,5,0,9,17,0,27,15,7,24,0,0,0,0,5,5,0,2,78,0,0,0,0,0,0,0,78,0,0,0,910.0
7536,5,0,3,0,3,0,0,0,5,0,5,1,0,30,0,0,25,0,0,0,0,11,0,0,14,113,0,0,0,0,0,0,5,34,0,0,0,1081.0
7789,27,48,0,0,0,0,4,1,5,0,10,101,0,0,0,26,38,67,65,0,0,1,109,0,74,265,3,0,0,0,0,0,14,87,0,0,0,2154.0
8063,3,9,0,0,0,0,0,0,0,0,0,15,0,23,3,0,23,0,0,0,0,3,0,0,0,24,0,0,0,0,2,0,12,0,0,0,0,599.0
