Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",815094
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",718877
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",2488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida",1004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1035443
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",899866
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",1097149
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1579241
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",1578845
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",899051
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",1652044
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",1652044
